metricId;crawlJobId;organizationId;sourceId;dimensions;rawValue;rawLast;avg3d;avg7d;avg15d;avg30d;stddev7d;stddev30d
13;25260;181;430;"{""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_amazon_com_br""}";2.63;0;0;0.2814285714285714;0.29266666666666663;0.24388888888888888;0.6893563990404087;0.6938871096854692
13;25260;181;430;"{""proxy_name"": ""DEFAULT"", ""spider_name"": ""plp_amazon_com_br""}";0;0;0;0;0;0;0;0
14;25260;181;430;;0.6879699248120301;0.6853526220614828;0.6916536741936672;0.6462862358323197;0.7440314403275192;0.7611790977863225;0.24942803706037261;0.17523609788641356
10;25260;181;430;;0.31203007518796994;0.31464737793851716;0.3083463258063328;0.35371376416768036;0.25596855967248083;0.2388209022136775;0.24942803706037264;0.1752360978864136
11;25260;181;430;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_amazon_com_br""}";2.986924648284912;2.972143650054932;2.964984099070231;3.0141303879874095;3.0220003922780356;3.0207809342278376;0.07921024528511583;0.05418441385016083
3;25289;142;305;;2084;2085;1397.3333333333333;1837;2075.0666666666666;2140.5862068965516;751.0107474977591;422.69737419882074
18;25285;152;335;;93.65;93.65;93.65000000000002;92.68571428571428;92.04400000000001;94.13758620689654;1.724975007213211;3.1921743267283436
19;25285;152;335;;5;5;5;5;5;4.9655172413793105;0;0.18246560765962694
9;25285;152;335;;0;0;0;0;0;0;0;0
20;25285;152;335;;0;0;0;0;0;0;0;0
8;25285;152;335;;0;0;0;0;0;0;0;0
15;25285;152;335;;13;;;;;;;
24;25285;152;335;;0;0;0;0;0;0;0;0
23;25285;152;335;;0;0;0;0;0;0;0;0
22;25285;152;335;;0;0;0;0;0;0;0;0
25;25285;152;335;;0;0;0;0;0;0;0;0
7;25285;152;335;;0;0;0;0;0;0;0;0
5;25285;152;335;;0;0;0;0;0;0;0;0
21;25285;152;335;;0;;;;;;;
4;25285;152;335;;63;63;63;62.57142857142857;62;54.10344827586207;0.4948716593053935;14.274029534223205
29;25285;152;335;;100;100;100;100;100;100;0;0
27;25285;152;335;;50.34;48.97;50.68333333333334;52.06142857142857;51.13133333333334;55.53448275862069;2.1166174401046365;12.564040802392576
31;25285;152;335;;100;100;100;100;100;100;0;0
26;25285;152;335;;0;0;0;0;0;0;0;0
2;25285;152;335;;147;145;145.33333333333334;144.85714285714286;140.8;118.72413793103448;2.0995626366712954;42.74051340737267
32;25285;152;335;;46.26;44.83;46.553333333333335;47.92;46.86466666666667;50.85655172413793;2.13963281229013;12.301547218600698
12;25194;158;346;;0;0;0;0;0;0;0;0
3;25218;181;436;;29;29;29.333333333333332;29.142857142857142;30;35.44827586206897;0.3499271061118826;28.06222913319432
11;25187;158;351;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_testequity_com""}";1.03026008605957;1.05593204498291;1.0503410498301187;1.0456346784319195;1.058278958002726;1.0592343542310925;0.00927553354859767;0.042391136028606245
11;25187;158;351;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""plp_testequity_com""}";1.836013555526733;1.186567306518555;1.3756755987803144;1.4879262447357178;1.5079640706380208;1.5237803194257948;0.20052193578682004;0.1665784656770428
6;25187;158;351;"{""percentile"": ""p95"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_testequity_com""}";1.499044418334961;1.512025594711304;1.536121129989624;1.5029170513153076;1.5068713188171388;1.522312217288547;0.05453074977293433;0.14129999481930883
